Average Hourly Customers,Max Hourly Queue Length,Total Daily Customers,Daily Walkout Customers,Market Milk Price,Market Coffee Price,Market Sugar Price,Daily Milk Cost,Daily Coffee Cost,Daily Sugar Cost,Daily Employee Cost,Gross Daily Income,Net Daily Income,Gross Daily Expense
13.54,0.03761111111111106,169,79,0.18018012612390935,0.03911898992048837,0.0021847615296757936,77.48539298015339,161.5983751229765,5.977669257159517,114.0,708.9267712137763,349.8653338534869,359.0614373602894
35.82,1.0668888888888886,177,71,0.1795249318354244,0.04123467675859828,0.002539084800028105,78.17142002067789,174.9341608785962,7.135873069194241,114.0,723.8556844488947,349.61423048042644,374.2414539684683
40.37,3.5442777777777765,157,91,0.17645045649192884,0.04375053486209622,0.002404664401980961,71.41948359627499,164.52835458843032,6.0265961640513375,114.0,644.7723678748832,288.7979335261266,355.97443434875663
35.77,3.0058055555555554,159,89,0.17502173129545942,0.047528202308770966,0.0021691026509879376,74.5846242913923,185.80270033100766,5.866817067810206,114.0,668.1913588490324,287.9372171588223,380.25414169021013
22.86,0.40775000000000006,168,80,0.17301235241002466,0.046062734832973476,0.0021292622861835858,73.7330377826172,184.20011531941515,5.775637181260298,114.0,689.2180730179507,311.50928273465803,377.70879028329267
11.87,0.03297222222222218,167,81,0.17221644699552083,0.04543229144089821,0.0020215767024803727,70.81273541973042,177.92760964470037,5.3794074245942065,114.0,673.5093461931245,305.3895937040995,368.119752489025
4.78,0.013277777777777756,170,78,0.17677091506141293,0.04687345267369891,0.002418147477697226,77.5097810119267,186.8981914229869,6.516705149476121,114.0,687.0500664151201,302.12538883073034,384.92467758438977
1.43,0.003972222222222216,155,93,0.17847076410891696,0.04588495179189397,0.0025761120564980595,71.31651532362083,168.15948627443296,6.148700677820552,114.0,633.2569679235422,273.63226564766785,359.62470227587437
,,164,84,0.17672485985120145,0.047135336972566826,0.0026672919426088118,74.44396480023262,184.26165278984632,7.1565740278665,114.0,675.6445056462662,295.7823140283208,379.8621916179454
,,169,79,0.17370307436357932,0.04678434712582272,0.002421568530957764,76.60272108474142,189.70178175832623,6.421428319640378,114.0,700.9230460589697,314.19711489626167,386.72593116270804
,,166,82,0.1734370218545104,0.04663859830431156,0.002354103823201529,73.30031308886875,182.08339734726113,6.001325507001079,114.0,670.5546023531875,295.1695664100566,375.38503594313096
,,166,82,0.17274518248879617,0.0407993229633023,0.0024314442863397853,75.24814406325812,163.4188733166202,6.419646527923889,114.0,687.6760990740182,328.58943516621605,359.0866639078022
,,166,82,0.17315189259891886,0.04285496261906844,0.002616614395848036,72.6853564698162,169.67743775910424,6.7382173752993655,114.0,678.1474255618574,315.0464139576376,363.1010116042198
,,169,79,0.17079323138821303,0.04652693943742055,0.0028235947238610904,75.74770600843787,188.03196875877128,7.772779711861124,114.0,696.4829295695611,310.9304750904908,385.55245447907026
,,167,81,0.17039708732390196,0.04186108810811929,0.0029073259887101585,71.32100605800555,166.82670150562203,7.772263221412359,114.0,691.7942336125116,331.8742628274716,359.91997078503994
,,166,82,0.1689730503675389,0.0441980198629616,0.0026601951802574307,73.61194101410601,181.04079040054492,7.252635876708328,114.0,701.3832280881205,325.47786079676126,375.90536729135925
,,168,80,0.17498149674208355,0.044776602725579345,0.0026593988602070426,75.4373737012733,181.6859866008389,7.129764123911723,114.0,698.7057651088411,320.45264068281716,378.25312442602393
,,171,77,0.17663865946183244,0.0462522165941298,0.0025360245144715244,75.08042673813806,187.02784805633843,6.7782157717403235,114.0,691.5058262382125,308.6193356719957,382.8864905662168
,,173,75,0.1823371902974237,0.03880044054871674,0.0027439638484215234,78.02981675759287,160.50529201311474,7.396371703233591,114.0,704.6852672122606,344.7537867383194,359.9314804739412
,,163,85,0.18178114179700955,0.03923599297085341,0.003102097170111465,74.84289979120196,151.90810802405173,8.238175613602825,114.0,669.7608258587557,320.77164242989915,348.9891834288565
,,166,82,0.18087387737747748,0.0407193424523526,0.0033530461745986573,78.71900831598981,163.78851975172938,8.671846617151797,114.0,689.9540399867807,324.7746653019097,365.179374684871
,,162,86,0.18286665975653232,0.04133364441093062,0.003750628523275135,77.0222973397369,158.3015803597755,9.46262152519127,114.0,662.4006660284895,303.6141668037858,358.7864992247037
,,161,87,0.18490473612406097,0.03925434467184934,0.0040402597730613285,74.13373545908115,151.20193412969493,10.520803803601108,114.0,665.2897440431781,315.43327065080086,349.8564733923772
,,165,83,0.18469640214305408,0.03856960856286453,0.0037128233211885736,79.57157547423158,157.40575588279873,9.920224155572166,114.0,690.6932450286746,329.7956895160721,360.8975555126025
,,172,76,0.18640978640339384,0.04099054507827245,0.003680091117070011,81.36232676279391,169.46927511152728,10.1097173417526,114.0,709.85398276882,334.91266355274615,374.9413192160738
,,159,89,0.18826064415018506,0.04388220964177113,0.0035895306872217154,74.69493310756805,161.4523263889153,8.781651224987684,114.0,638.0841292856962,279.1552185642252,358.928910721471
,,173,75,0.18375330962306308,0.04386837087436479,0.003902494005340255,79.87353509903112,179.15643543842046,10.761241252287242,114.0,701.1994396009384,317.4082278111996,383.7912117897388
